iter	Logloss
0	0.6558065796
1	0.6159549713
2	0.5898032379
3	0.5613804626
4	0.5370679474
5	0.5163689423
6	0.4914712524
7	0.4727620316
8	0.4584597397
9	0.4440620422
10	0.4308777618
11	0.4156243896
12	0.4008058167
13	0.3904452133
14	0.3780934525
15	0.3688288879
16	0.3578652191
17	0.3482243347
18	0.3407975769
19	0.3346773911
20	0.3262484741
21	0.3204619598
22	0.3152497101
23	0.3113100243
24	0.3055196571
25	0.3023931503
26	0.2991231537
27	0.2944203758
28	0.2902317238
29	0.2846020126
30	0.2799370575
31	0.2756571198
32	0.2726753235
33	0.2674081993
34	0.2631822968
35	0.2589993286
36	0.2568804169
37	0.2538737297
38	0.2513689423
39	0.2482830048
40	0.2463209152
41	0.2441431999
42	0.2416618538
43	0.2396796989
44	0.2378426743
45	0.2364648056
46	0.2350752258
47	0.2315079117
48	0.2294300842
49	0.2281681061
50	0.2267750931
51	0.2247380257
52	0.222826252
53	0.2211004639
54	0.2194082642
55	0.2179933929
56	0.2154257011
57	0.2143136978
58	0.2129936218
59	0.2122751236
60	0.2112648392
61	0.2104971313
62	0.2091629791
63	0.2073147964
64	0.2045572281
65	0.2032155991
66	0.202047081
67	0.1988263702
68	0.1976841736
69	0.1968678284
70	0.195190506
71	0.1942428589
72	0.1935453415
73	0.192959671
74	0.1917593765
75	0.1914746475
76	0.1905237961
77	0.189629097
78	0.1889220428
79	0.1880879593
80	0.186865921
81	0.1862109375
82	0.1857629967
83	0.1851696396
84	0.1846977615
85	0.1842192078
86	0.1833964539
87	0.1828303909
88	0.1817573166
89	0.1812930107
90	0.1802531052
91	0.1792955971
92	0.1786212921
93	0.1784044838
94	0.178129158
95	0.1776721954
96	0.1766269684
97	0.1754324532
98	0.1750621986
99	0.1746579361
