iter	Passed	Remaining
0	229	22762
1	249	12228
2	270	8730
3	293	7044
4	319	6076
5	341	5348
6	361	4801
7	383	4413
8	402	4068
9	422	3805
10	445	3601
11	476	3493
12	504	3377
13	527	3238
14	552	3128
15	570	2993
16	593	2899
17	632	2880
18	662	2824
19	685	2740
20	714	2686
21	752	2668
22	791	2651
23	831	2634
24	896	2689
25	932	2652
26	965	2611
27	996	2561
28	1067	2613
29	1117	2607
30	1160	2582
31	1185	2520
32	1207	2450
33	1230	2388
34	1263	2346
35	1314	2337
36	1356	2310
37	1382	2255
38	1411	2207
39	1448	2173
40	1489	2142
41	1513	2090
42	1535	2035
43	1555	1980
44	1576	1926
45	1598	1876
46	1629	1837
47	1660	1798
48	1688	1757
49	1712	1712
50	1741	1673
51	1765	1629
52	1786	1584
53	1806	1538
54	1826	1494
55	1846	1451
56	1868	1409
57	1889	1367
58	1909	1327
59	1931	1287
60	1953	1249
61	1973	1209
62	1995	1172
63	2018	1135
64	2039	1098
65	2058	1060
66	2083	1026
67	2103	989
68	2130	957
69	2159	925
70	2188	893
71	2220	863
72	2247	831
73	2267	796
74	2294	764
75	2316	731
76	2337	698
77	2358	665
78	2381	633
79	2400	600
80	2422	568
81	2444	536
82	2463	504
83	2484	473
84	2506	442
85	2527	411
86	2545	380
87	2571	350
88	2594	320
89	2613	290
90	2633	260
91	2656	231
92	2691	202
93	2724	173
94	2746	144
95	2770	115
96	2792	86
97	2811	57
98	2832	28
99	2853	0
